country,keyword_en,keyword_es,platform,traffic,search_ads
mexico,food,comida,GP,523,
mexico,food,comida,AS,523,56
mexico,workout,entrenamiento,GP,286,
mexico,workout,entrenamiento,AS,166,5
mexico,weight,peso,GP,84,
mexico,weight,peso,AS,84,5
mexico,fasting,ayuno,GP,4,
mexico,fasting,ayuno,AS,4,5
mexico,ai fitness,fitness ia,GP,No Data,
mexico,ai fitness,fitness ia,AS,No Data,-
mexico,gym,gimnasio,GP,51,
mexico,gym,gimnasio,AS,51,5
mexico,meditation,meditación,GP,0,
mexico,meditation,meditación,AS,0,5
mexico,period,periodo,GP,417,
mexico,period,periodo,AS,303,48
mexico,mestruation,menstruación,GP,10,
mexico,mestruation,menstruación,AS,No Data,5
mexico,habits,hábitos,GP,0,
mexico,habits,hábitos,AS,0,5
mexico,tracker,seguimiento,GP,10,
mexico,tracker,seguimiento,AS,0,5
mexico,diet,dieta,GP,123,
mexico,diet,dieta,AS,123,5
mexico,run,correr,GP,233,
mexico,run,correr,AS,179,39
mexico,protein,proteína,GP,No Data,
mexico,protein,proteína,AS,No Data,5
mexico,health,salud,GP,528,
mexico,health,salud,AS,528,57
mexico,AI Calorie,calorías ia,GP,No Data,
mexico,AI Calorie,calorías ia,AS,No Data,-
mexico,eating,comer,GP,8,
mexico,eating,comer,AS,8,24
mexico,habit,hábito,GP,No Data,
mexico,habit,hábito,AS,No Data,5
mexico,AI Calories,calorías de ia,GP,No Data,
mexico,AI Calories,calorías de ia,AS,No Data,-
mexico,AI nutrition,nutrición ia,GP,No Data,
mexico,AI nutrition,nutrición ia,AS,No Data,-
mexico,sleep,sueño,GP,115,
mexico,sleep,sueño,AS,115,5
mexico,ai food,comida ia,GP,No Data,
mexico,ai food,comida ia,AS,No Data,-
mexico,meal scanner,escáner de comidas,GP,No Data,
mexico,meal scanner,escáner de comidas,AS,No Data,5
mexico,exercise,ejercicio,GP,381,
mexico,exercise,ejercicio,AS,381,52
mexico,exercises,ejercicios,GP,No Data,
mexico,exercises,ejercicios,AS,77,5
mexico,macro,macro,GP,140,
mexico,macro,macro,AS,12,5
mexico,macros,macros,GP,No Data,
mexico,macros,macros,AS,205,42
mexico,macros tracker,seguimiento de macros,GP,No Data,
mexico,macros tracker,seguimiento de macros,AS,No Data,-
mexico,macro tracker,rastreador de macros,GP,No Data,
mexico,macro tracker,rastreador de macros,AS,No Data,5
mexico,meal tracker,seguimiento de comidas,GP,No Data,
mexico,meal tracker,seguimiento de comidas,AS,No Data,5
mexico,meal tracker free,seguimiento de comidas gratis,GP,No Data,
mexico,meal tracker free,seguimiento de comidas gratis,AS,No Data,-
mexico,habit tracker,seguimiento de hábitos,GP,0,
mexico,habit tracker,seguimiento de hábitos,AS,0,5
mexico,women's health,salud de la mujer,GP,No Data,
mexico,women's health,salud de la mujer,AS,No Data,-
mexico,menstrual cycle,ciclo menstrual,GP,241,
mexico,menstrual cycle,ciclo menstrual,AS,241,43
mexico,GPS fitness,fitness gps,GP,No Data,
mexico,GPS fitness,fitness gps,AS,No Data,-
mexico,ai coach,entrenador ia,GP,No Data,
mexico,ai coach,entrenador ia,AS,No Data,-
mexico,motivation,motivación,GP,No Data,
mexico,motivation,motivación,AS,No Data,5
mexico,sports,deportes,GP,423,
mexico,sports,deportes,AS,542,57
mexico,brain gym,gimnasia cerebral,GP,No Data,
mexico,brain gym,gimnasia cerebral,AS,1,-
mexico,cognitive games,juegos cognitivos,GP,No Data,
mexico,cognitive games,juegos cognitivos,AS,No Data,-
mexico,brain games,juegos mentales,GP,97,
mexico,brain games,juegos mentales,AS,371,52
mexico,personal plan,plan personal,GP,No Data,
mexico,personal plan,plan personal,AS,No Data,5
mexico,nutrition plan,plan de alimentación,GP,2,
mexico,nutrition plan,plan de alimentación,AS,2,5
mexico,workout plan,plan de entrenamiento,GP,2,
mexico,workout plan,plan de entrenamiento,AS,2,5
mexico,workout plans,planes de entrenamiento,GP,No Data,
mexico,workout plans,planes de entrenamiento,AS,No Data,-
mexico,crossfit,crossfit,GP,2,
mexico,crossfit,crossfit,AS,2,5
mexico,pilates,pilates,GP,37,
mexico,pilates,pilates,AS,37,35
mexico,yoga,yoga,GP,41,
mexico,yoga,yoga,AS,41,34
mexico,cycling tracker,seguimiento de ciclismo,GP,No Data,
mexico,cycling tracker,seguimiento de ciclismo,AS,No Data,-
mexico,cycling,ciclismo,GP,74,
mexico,cycling,ciclismo,AS,74,25
mexico,bmi,imc,GP,16,
mexico,bmi,imc,AS,16,24
mexico,bmi calculator,calculadora de imc,GP,No Data,
mexico,bmi calculator,calculadora de imc,AS,No Data,5
mexico,brain,cerebro,GP,62,
mexico,brain,cerebro,AS,62,5
mexico,meals,comidas,GP,3,
mexico,meals,comidas,AS,3,5
mexico,cooking,cocinar,GP,22,
mexico,cooking,cocinar,AS,13,5
mexico,recipes,recetas,GP,97,
mexico,recipes,recetas,AS,97,5
mexico,cooking2,cocina,GP,427,
mexico,cooking2,cocina,AS,445,54
mexico,breakfast,desayuno,GP,No Data,
mexico,breakfast,desayuno,AS,No Data,5
mexico,dinner,cena,GP,No Data,
mexico,dinner,cena,AS,No Data,5
mexico,lunch,almuerzo,GP,No Data,
mexico,lunch,almuerzo,AS,No Data,5
mexico,meal prep,preparación de comidas,GP,No Data,
mexico,meal prep,preparación de comidas,AS,No Data,-
mexico,bodybuilding,musculación,GP,No Data,
mexico,bodybuilding,musculación,AS,No Data,5
mexico,scanner,escáner,GP,11,
mexico,scanner,escáner,AS,11,5
mexico,healthy,saludable,GP,0,
mexico,healthy,saludable,AS,0,5
mexico,hypertrophy,hipertrofia,GP,No Data,
