country,keyword_en,keyword_native,platform,traffic,search_ads
Finland,food,ruoka,google_play,43,
Finland,food,ruoka,app_store,39,25
Finland,workout,treeni,google_play,25,
Finland,workout,treeni,app_store,1,5
Finland,weight,paino,google_play,1,
Finland,weight,paino,app_store,1,5
Finland,fasting,paasto,google_play,25,
Finland,fasting,paasto,app_store,No Data,5
Finland,ai fitness,tekoäly kuntoilu,google_play,No Data,
Finland,ai fitness,tekoäly kuntoilu,app_store,No Data,-
Finland,gym,kuntosali,google_play,16,
Finland,gym,kuntosali,app_store,4,8
Finland,meditation,meditaatio,google_play,No Data,
Finland,meditation,meditaatio,app_store,No Data,5
Finland,period,kuukautiset,google_play,36,
Finland,period,kuukautiset,app_store,36,23
Finland,mestruation,kuukautiset,google_play,36,
Finland,mestruation,kuukautiset,app_store,36,23
Finland,habits,tavat,google_play,No Data,
Finland,habits,tavat,app_store,No Data,-
Finland,tracker,seuranta,google_play,No Data,
Finland,tracker,seuranta,app_store,No Data,5
Finland,diet,dieetti,google_play,No Data,
Finland,diet,dieetti,app_store,No Data,5
Finland,run,juoksu,google_play,9,
Finland,run,juoksu,app_store,9,10
Finland,protein,proteiini,google_play,No Data,
Finland,protein,proteiini,app_store,No Data,-
Finland,health,terveys,google_play,45,
Finland,health,terveys,app_store,71,47
Finland,AI Calorie,AI-kalori,google_play,No Data,
Finland,AI Calorie,AI-kalori,app_store,No Data,-
Finland,eating,syöminen,google_play,No Data,
Finland,eating,syöminen,app_store,No Data,5
Finland,habit,tapa,google_play,No Data,
Finland,habit,tapa,app_store,No Data,5
Finland,AI Calories,AI-kalorit,google_play,No Data,
Finland,AI Calories,AI-kalorit,app_store,No Data,-
Finland,AI nutrition,AI-ravitsemus,google_play,No Data,
Finland,AI nutrition,AI-ravitsemus,app_store,No Data,-
Finland,sleep,uni,google_play,91,
Finland,sleep,uni,app_store,75,38
Finland,ai food,AI-ruoka,google_play,No Data,
Finland,ai food,AI-ruoka,app_store,No Data,-
Finland,meal scanner,ateriaskanneri,google_play,No Data,
Finland,meal scanner,ateriaskanneri,app_store,No Data,-
Finland,exercise,liikunta,google_play,No Data,
Finland,exercise,liikunta,app_store,No Data,5
Finland,exercises,harjoitukset,google_play,No Data,
Finland,exercises,harjoitukset,app_store,No Data,5
Finland,macro,makro,google_play,No Data,
Finland,macro,makro,app_store,No Data,5
Finland,macros,makrot,google_play,No Data,
Finland,macros,makrot,app_store,No Data,-
Finland,macros tracker,makroseuranta,google_play,No Data,
Finland,macros tracker,makroseuranta,app_store,No Data,5
Finland,macro tracker,makrolaskuri,google_play,No Data,
Finland,macro tracker,makrolaskuri,app_store,No Data,5
Finland,meal tracker,ateriaseuranta,google_play,No Data,
Finland,meal tracker,ateriaseuranta,app_store,No Data,5
Finland,meal tracker free,ilmainen ateriaseuranta,google_play,No Data,
Finland,meal tracker free,ilmainen ateriaseuranta,app_store,No Data,-
Finland,habit tracker,tapaseuranta,google_play,No Data,
Finland,habit tracker,tapaseuranta,app_store,No Data,-
Finland,women's health,naisten terveys,google_play,No Data,
Finland,women's health,naisten terveys,app_store,No Data,5
Finland,menstrual cycle,kuukautiskierto,google_play,No Data,
Finland,menstrual cycle,kuukautiskierto,app_store,No Data,5
Finland,GPS fitness,GPS kuntoilu,google_play,No Data,
Finland,GPS fitness,GPS kuntoilu,app_store,No Data,-
Finland,ai coach,tekoälyvalmentaja,google_play,No Data,
Finland,ai coach,tekoälyvalmentaja,app_store,No Data,-
Finland,motivation,motivaatio,google_play,No Data,
Finland,motivation,motivaatio,app_store,No Data,5
Finland,sports,urheilu,google_play,No Data,
Finland,sports,urheilu,app_store,No Data,5
Finland,brain gym,aivojumppa,google_play,No Data,
Finland,brain gym,aivojumppa,app_store,No Data,5
Finland,cognitive games,kognitiiviset pelit,google_play,No Data,
Finland,cognitive games,kognitiiviset pelit,app_store,No Data,-
Finland,brain games,aivopelit,google_play,No Data,
Finland,brain games,aivopelit,app_store,No Data,5
Finland,personal plan,henkilökohtainen suunnitelma,google_play,No Data,
Finland,personal plan,henkilökohtainen suunnitelma,app_store,No Data,-
Finland,nutrition plan,ravitsemussuunnitelma,google_play,No Data,
Finland,nutrition plan,ravitsemussuunnitelma,app_store,No Data,-
Finland,workout plan,kuntoilusuunnitelma,google_play,No Data,
Finland,workout plan,kuntoilusuunnitelma,app_store,No Data,-
Finland,workout plans,kuntoilusuunnitelmat,google_play,No Data,
Finland,workout plans,kuntoilusuunnitelmat,app_store,No Data,-
Finland,crossfit,crossfit,google_play,14,
Finland,crossfit,crossfit,app_store,6,7
Finland,pilates,pilates,google_play,1,
Finland,pilates,pilates,app_store,1,5
Finland,yoga,jooga,google_play,No Data,
Finland,yoga,jooga,app_store,No Data,5
Finland,cycling tracker,pyöräilyseuranta,google_play,No Data,
Finland,cycling tracker,pyöräilyseuranta,app_store,No Data,-
Finland,cycling,pyöräily,google_play,60,
Finland,cycling,pyöräily,app_store,8,30
Finland,bmi,bmi,google_play,4,
Finland,bmi,bmi,app_store,4,5
Finland,bmi calculator,bmi-laskuri,google_play,No Data,
Finland,bmi calculator,bmi-laskuri,app_store,No Data,-
Finland,brain,aivot,google_play,No Data,
Finland,brain,aivot,app_store,No Data,5
Finland,meals,ateriat,google_play,No Data,
Finland,meals,ateriat,app_store,No Data,-
Finland,cooking,ruoanlaitto,google_play,No Data,
Finland,cooking,ruoanlaitto,app_store,No Data,5
Finland,recipes,reseptit,google_play,No Data,
Finland,recipes,reseptit,app_store,No Data,5
Finland,cooking2,kokkaus,google_play,No Data,
Finland,cooking2,kokkaus,app_store,No Data,-
Finland,breakfast,aamiainen,google_play,No Data,
Finland,breakfast,aamiainen,app_store,No Data,5
Finland,dinner,illallinen,google_play,No Data,
Finland,dinner,illallinen,app_store,No Data,5
Finland,lunch,lounas,google_play,No Data,
Finland,lunch,lounas,app_store,No Data,5
Finland,meal prep,valmistelu,google_play,No Data,
Finland,meal prep,valmistelu,app_store,No Data,-
Finland,healthy,terveellinen,google_play,No Data,
Finland,healthy,terveellinen,app_store,No Data,5
Finland,bodybuilding,kehonrakennus,google_play,No Data,
Finland,bodybuilding,kehonrakennus,app_store,No Data,5
Finland,scanner,skanneri,google_play,54,
Finland,scanner,skanneri,app_store,54,5
Finland,keto,keto,google_play,1,
Finland,keto,keto,app_store,1,5
Finland,ketosis,ketoosi,google_play,No Data,
Finland,ketosis,ketoosi,app_store,No Data,-
Finland,glucose,glukoosi,google_play,No Data,
Finland,glucose,glukoosi,app_store,No Data,5
Finland,insulin,insuliini,google_play,No Data,
Finland,insulin,insuliini,app_store,No Data,-
Finland,hydration,nesteytys,google_play,No Data,
Finland,hydration,nesteytys,app_store,No Data,5
Finland,steps,askeleet,google_play,5,
Finland,steps,askeleet,app_store,5,5
Finland,luteal phase,luteaalivaihe,google_play,No Data,
Finland,luteal phase,luteaalivaihe,app_store,No Data,-
Finland,ovulation,ovulaatio,google_play,No Data,
Finland,ovulation,ovulaatio,app_store,No Data,5
Finland,pcos,pcos,google_play,4,
Finland,pcos,pcos,app_store,4,5
Finland,pcos tracker,pcos-seuranta,google_play,No Data,
Finland,pcos tracker,pcos-seuranta,app_store,No Data,-
Finland,hypertrophy,hypertrofia,google_play,No Data,
Finland,hypertrophy,hypertrofia,app_store,No Data,-
Finland,bodyweight training,kehonpainoharjoittelu,google_play,No Data,
Finland,bodyweight training,kehonpainoharjoittelu,app_store,No Data,-
Finland,weightlifting,painonnosto,google_play,No Data,
Finland,weightlifting,painonnosto,app_store,No Data,5
Finland,planner,suunnittelija,google_play,No Data,
Finland,planner,suunnittelija,app_store,No Data,5
Finland,food scanner,ruokaskanneri,google_play,No Data,
Finland,food scanner,ruokaskanneri,app_store,No Data,5
Finland,calories from photo,kalorit kuvasta,google_play,No Data,
Finland,calories from photo,kalorit kuvasta,app_store,No Data,-
Finland,nutrition scanner,ravitsemusskanneri,google_play,No Data,
Finland,nutrition scanner,ravitsemusskanneri,app_store,No Data,5
Finland,carb counter,hiilihydraattilaskuri,google_play,No Data,
Finland,carb counter,hiilihydraattilaskuri,app_store,No Data,5
Finland,glucose tracker,glukoosiseuranta,google_play,No Data,
Finland,glucose tracker,glukoosiseuranta,app_store,No Data,-
Finland,keto tracker,ketoseuranta,google_play,No Data,
Finland,keto tracker,ketoseuranta,app_store,No Data,-
Finland,meal preparation,ruoanvalmistus,google_play,No Data,
Finland,meal preparation,ruoanvalmistus,app_store,No Data,-
Finland,grocery list,ostoslista,google_play,4,
Finland,grocery list,ostoslista,app_store,4,-
Finland,water reminder,vesimuistutus,google_play,No Data,
Finland,water reminder,vesimuistutus,app_store,No Data,-
Finland,hydration tracker,nesteytysseuranta,google_play,No Data,
Finland,hydration tracker,nesteytysseuranta,app_store,No Data,-
Finland,workout planner,treenisuunnittelija,google_play,No Data,
Finland,workout planner,treenisuunnittelija,app_store,No Data,-
Finland,gym log,salipäiväkirja,google_play,No Data,
Finland,gym log,salipäiväkirja,app_store,No Data,-
Finland,weightlifting tracker,painonnostoseuranta,google_play,No Data,
Finland,weightlifting tracker,painonnostoseuranta,app_store,No Data,-
Finland,strength training,voimaharjoittelu,google_play,No Data,
Finland,strength training,voimaharjoittelu,app_store,No Data,5
Finland,bodyweight workout,kehonpainotreeni,google_play,No Data,
Finland,bodyweight workout,kehonpainotreeni,app_store,No Data,-
Finland,hiit timer,hiit-ajastin,google_play,No Data,
Finland,hiit timer,hiit-ajastin,app_store,No Data,-
Finland,muscle builder,lihaksenrakentaja,google_play,No Data,
Finland,muscle builder,lihaksenrakentaja,app_store,No Data,-
Finland,pedometer,askelmittari,google_play,60,
Finland,pedometer,askelmittari,app_store,60,34
Finland,nutrition,ravitsemus,google_play,No Data,
Finland,nutrition,ravitsemus,app_store,No Data,5
Finland,nutrition calculator,ravitsemuslaskuri,google_play,No Data,
Finland,nutrition calculator,ravitsemuslaskuri,app_store,No Data,-
Finland,free nutrition tracking app,ilmainen ravitsemusseurantasovellus,google_play,No Data,
Finland,free nutrition tracking app,ilmainen ravitsemusseurantasovellus,app_store,No Data,-
Finland,nutrition tracker,ravitsemusseuranta,google_play,No Data,
Finland,nutrition tracker,ravitsemusseuranta,app_store,No Data,5
Italy,food,cibo,google_play,275,
Italy,food,cibo,app_store,275,5
Italy,workout,allenamento,google_play,295,
Italy,workout,allenamento,app_store,295,5
Italy,weight,peso,google_play,186,
Italy,weight,peso,app_store,186,5
Italy,fasting,digiuno,google_play,0,
Italy,fasting,digiuno,app_store,0,5
Italy,ai fitness,fitness ai,google_play,0,
Italy,ai fitness,fitness ai,app_store,0,5
Italy,gym,palestra,google_play,6,
Italy,gym,palestra,app_store,6,5
Italy,meditation,meditazione,google_play,3,
Italy,meditation,meditazione,app_store,3,5
Italy,period,ciclo,google_play,469,
Italy,period,ciclo,app_store,469,54
Italy,mestruation,mestruazioni,google_play,84,
Italy,mestruation,mestruazioni,app_store,90,24
Italy,habits,abitudini,google_play,2,
Italy,habits,abitudini,app_store,2,5
Italy,tracker,monitoraggio,google_play,No Data,
Italy,tracker,monitoraggio,app_store,No Data,5
Italy,diet,dieta,google_play,239,
Italy,diet,dieta,app_store,261,5
Italy,run,corsa,google_play,344,
Italy,run,corsa,app_store,344,47
Italy,protein,proteine,google_play,6,
Italy,protein,proteine,app_store,6,5
Italy,health,salute,google_play,694,
Italy,health,salute,app_store,694,61
Italy,AI Calorie,calorie ai,google_play,1,
Italy,AI Calorie,calorie ai,app_store,1,5
Italy,eating,mangiare,google_play,1,
Italy,eating,mangiare,app_store,1,5
Italy,habit,abitudine,google_play,No Data,
Italy,habit,abitudine,app_store,No Data,5
Italy,AI Calories,calorie ia,google_play,0,
Italy,AI Calories,calorie ia,app_store,0,-
Italy,AI nutrition,nutrizione ai,google_play,No Data,
Italy,AI nutrition,nutrizione ai,app_store,No Data,-
Italy,sleep,sonno,google_play,3,
Italy,sleep,sonno,app_store,6,5
Italy,ai food,cibo ai,google_play,2,
Italy,ai food,cibo ai,app_store,2,-
Italy,meal scanner,scanner pasti,google_play,No Data,
Italy,meal scanner,scanner pasti,app_store,No Data,-
Italy,exercise,esercizio,google_play,No Data,
Italy,exercise,esercizio,app_store,No Data,5
Italy,exercises,esercizi,google_play,73,
Italy,exercises,esercizi,app_store,73,5
Italy,macro,macro,google_play,0,
Italy,macro,macro,app_store,0,5
Italy,macros,macro nutrienti,google_play,No Data,
Italy,macros,macro nutrienti,app_store,No Data,-
Italy,macros tracker,monitoraggio macro,google_play,No Data,
Italy,macros tracker,monitoraggio macro,app_store,No Data,-
Italy,macro tracker,tracciamento macro,google_play,No Data,
Italy,macro tracker,tracciamento macro,app_store,No Data,-
Italy,meal tracker,monitoraggio pasti,google_play,No Data,
Italy,meal tracker,monitoraggio pasti,app_store,No Data,-
Italy,meal tracker free,monitoraggio pasti gratis,google_play,No Data,
Italy,meal tracker free,monitoraggio pasti gratis,app_store,No Data,-
Italy,habit tracker,monitoraggio abitudini,google_play,No Data,
Italy,habit tracker,monitoraggio abitudini,app_store,No Data,-
Italy,women's health,salute femminile,google_play,No Data,
Italy,women's health,salute femminile,app_store,No Data,5
Italy,menstrual cycle,ciclo mestruale,google_play,463,
Italy,menstrual cycle,ciclo mestruale,app_store,463,53
Italy,GPS fitness,fitness gps,google_play,No Data,
Italy,GPS fitness,fitness gps,app_store,No Data,-
Italy,ai coach,coach ai,google_play,2,
Italy,ai coach,coach ai,app_store,2,-
Italy,motivation,motivazione,google_play,2,
Italy,motivation,motivazione,app_store,2,5
Italy,sports,sport,google_play,506,
Italy,sports,sport,app_store,506,55
Italy,brain gym,ginnastica mentale,google_play,No Data,
Italy,brain gym,ginnastica mentale,app_store,No Data,-
Italy,cognitive games,giochi cognitivi,google_play,No Data,
Italy,cognitive games,giochi cognitivi,app_store,No Data,5
Italy,brain games,giochi mentali,google_play,76,
Italy,brain games,giochi mentali,app_store,76,5
Italy,personal plan,piano personale,google_play,No Data,
Italy,personal plan,piano personale,app_store,No Data,-
Italy,nutrition plan,piano alimentare,google_play,125,
Italy,nutrition plan,piano alimentare,app_store,125,5
Italy,workout plan,piano di allenamento,google_play,3,
Italy,workout plan,piano di allenamento,app_store,3,5
Italy,workout plans,piani di allenamento,google_play,No Data,
Italy,workout plans,piani di allenamento,app_store,No Data,-
Italy,crossfit,crossfit,google_play,4,
Italy,crossfit,crossfit,app_store,4,5
Italy,pilates,pilates,google_play,310,
Italy,pilates,pilates,app_store,310,45
Italy,yoga,yoga,google_play,281,
Italy,yoga,yoga,app_store,281,43
Italy,cycling tracker,monitoraggio ciclismo,google_play,No Data,
Italy,cycling tracker,monitoraggio ciclismo,app_store,No Data,-
Italy,cycling,ciclismo,google_play,98,
Italy,cycling,ciclismo,app_store,98,5
Italy,bmi,bmi,google_play,143,
Italy,bmi,bmi,app_store,143,31
Italy,bmi calculator,calcolatore bmi,google_play,12,
Italy,bmi calculator,calcolatore bmi,app_store,12,23
Italy,brain,cervello,google_play,2,
Italy,brain,cervello,app_store,12,5
Italy,meals,pasti,google_play,No Data,
Italy,meals,pasti,app_store,No Data,5
Italy,cooking,cucina,google_play,618,
Italy,cooking,cucina,app_store,618,58
Italy,recipes,ricette,google_play,182,
Italy,recipes,ricette,app_store,182,5
Italy,cooking2,cucinare,google_play,118,
Italy,cooking2,cucinare,app_store,118,28
Italy,breakfast,colazione,google_play,No Data,
Italy,breakfast,colazione,app_store,117,No Data
Italy,dinner,cena,google_play,No Data,
Italy,dinner,cena,app_store,No Data,5
Italy,lunch,pranzo,google_play,No Data,
Italy,lunch,pranzo,app_store,No Data,5
Italy,meal prep,preparazione pasti,google_play,No Data,
Italy,meal prep,preparazione pasti,app_store,No Data,-
Italy,healthy,sano,google_play,No Data,
Italy,healthy,sano,app_store,No Data,5
Italy,bodybuilding,bodybuilding,google_play,1,
Italy,bodybuilding,bodybuilding,app_store,1,5
Italy,scanner,scanner,google_play,604,
Italy,scanner,scanner,app_store,604,58
Italy,keto,keto,google_play,89,
Italy,keto,keto,app_store,89,5
Italy,ketosis,chetosi,google_play,No Data,
Italy,ketosis,chetosi,app_store,No Data,-
Italy,glucose,glucosio,google_play,1,
Italy,glucose,glucosio,app_store,1,5
Italy,insulin,insulina,google_play,No Data,
Italy,insulin,insulina,app_store,No Data,-
Italy,hydration,idratazione,google_play,No Data,
Italy,hydration,idratazione,app_store,No Data,5
Italy,steps,passi,google_play,13,
Italy,steps,passi,app_store,13,5
Italy,luteal phase,fase luteale,google_play,No Data,
Italy,luteal phase,fase luteale,app_store,No Data,-
Italy,ovulation,ovulazione,google_play,49,
Italy,ovulation,ovulazione,app_store,49,15
Italy,pcos,pcos,google_play,84,
Italy,pcos,pcos,app_store,3,5
Italy,pcos tracker,monitoraggio pcos,google_play,No Data,
Italy,pcos tracker,monitoraggio pcos,app_store,No Data,-
Italy,hypertrophy,ipertrofia,google_play,No Data,
Italy,hypertrophy,ipertrofia,app_store,No Data,-
Italy,bodyweight training,allenamento a corpo libero,google_play,No Data,
Italy,bodyweight training,allenamento a corpo libero,app_store,No Data,6
Italy,weightlifting,sollevamento pesi,google_play,No Data,
Italy,weightlifting,sollevamento pesi,app_store,No Data,-
Italy,planner,pianificatore,google_play,1,
Italy,planner,pianificatore,app_store,1,5
Italy,food scanner,scanner cibo,google_play,9,
Italy,food scanner,scanner cibo,app_store,9,5
Italy,calories from photo,calorie da foto,google_play,No Data,
Italy,calories from photo,calorie da foto,app_store,No Data,-
Italy,nutrition scanner,scanner nutrizionale,google_play,No Data,
Italy,nutrition scanner,scanner nutrizionale,app_store,No Data,5
Italy,carb counter,contatore carboidrati,google_play,No Data,
Italy,carb counter,contatore carboidrati,app_store,No Data,5
Italy,glucose tracker,monitoraggio glucosio,google_play,No Data,
Italy,glucose tracker,monitoraggio glucosio,app_store,No Data,-
Italy,keto tracker,monitoraggio keto,google_play,No Data,
Italy,keto tracker,monitoraggio keto,app_store,No Data,-
Italy,meal preparation,preparazione culinaria,google_play,No Data,
Italy,meal preparation,preparazione culinaria,app_store,No Data,-
Italy,grocery list,lista della spesa,google_play,223,
Italy,grocery list,lista della spesa,app_store,223,5
Italy,water reminder,promemoria acqua,google_play,62,
Italy,water reminder,promemoria acqua,app_store,62,19
Italy,hydration tracker,monitoraggio idratazione,google_play,No Data,
Italy,hydration tracker,monitoraggio idratazione,app_store,No Data,-
Italy,workout planner,pianificatore allenamento,google_play,No Data,
Italy,workout planner,pianificatore allenamento,app_store,No Data,-
Italy,gym log,diario palestra,google_play,0,
Italy,gym log,diario palestra,app_store,0,5
Italy,weightlifting tracker,monitoraggio sollevamento pesi,google_play,No Data,
Italy,weightlifting tracker,monitoraggio sollevamento pesi,app_store,No Data,-
Italy,strength training,allenamento della forza,google_play,No Data,
Italy,strength training,allenamento della forza,app_store,No Data,5
